"filename", "language", "JSON", "JavaScript", "Python", "CSS", "Markdown", "HTML", "comment", "blank", "total"
"c:\Users\tyler\Documents\GitHub\MarkT\README.md", "Markdown", 0, 0, 0, 0, 3, 0, 0, 2, 5
"c:\Users\tyler\Documents\GitHub\MarkT\blogCreator\createBlog.py", "Python", 0, 0, 12, 0, 0, 0, 0, 8, 20
"c:\Users\tyler\Documents\GitHub\MarkT\blogCreator\index.html", "HTML", 0, 0, 0, 0, 0, 16, 0, 5, 21
"c:\Users\tyler\Documents\GitHub\MarkT\blogCreator\script.js", "JavaScript", 0, 142, 0, 0, 0, 0, 12, 31, 185
"c:\Users\tyler\Documents\GitHub\MarkT\blogCreator\styles.css", "CSS", 0, 0, 0, 42, 0, 0, 0, 9, 51
"c:\Users\tyler\Documents\GitHub\MarkT\blogs\real\index.html", "HTML", 0, 0, 0, 0, 0, 16, 0, 5, 21
"c:\Users\tyler\Documents\GitHub\MarkT\blogs\real\script.js", "JavaScript", 0, 142, 0, 0, 0, 0, 12, 31, 185
"c:\Users\tyler\Documents\GitHub\MarkT\blogs\real\styles.css", "CSS", 0, 0, 0, 42, 0, 0, 0, 9, 51
"c:\Users\tyler\Documents\GitHub\MarkT\createDocs.py", "Python", 0, 0, 17, 0, 0, 0, 1, 1, 19
"c:\Users\tyler\Documents\GitHub\MarkT\editor\index.html", "HTML", 0, 0, 0, 0, 0, 30, 0, 5, 35
"c:\Users\tyler\Documents\GitHub\MarkT\editor\script.js", "JavaScript", 0, 311, 0, 0, 0, 0, 36, 76, 423
"c:\Users\tyler\Documents\GitHub\MarkT\editor\styles.css", "CSS", 0, 0, 0, 156, 0, 0, 0, 28, 184
"c:\Users\tyler\Documents\GitHub\MarkT\prism.js", "JavaScript", 0, 295, 0, 0, 0, 0, 5, 0, 300
"c:\Users\tyler\Documents\GitHub\MarkT\tags.json", "JSON", 13, 0, 0, 0, 0, 0, 0, 0, 13
"Total", "-", 13, 890, 29, 240, 3, 62, 66, 210, 1513